in;out
обследуй авто за тобой, опережай его;Местоимение: его. Объект: авто
подвергни анализу близлежащего лежащего человека и разглядывай его;Местоимение: его. Объект: лежащего человека
обнаружь постройку, рассмотри её;Местоимение: её. Объект: постройку
дуй к свету, что находится спереди от товарища, обскакивай его;Местоимение: его. Объект: свет
найди барьер, что перед кучей, рассматривай его;Местоимение: его. Объект: барьер
обскочи то поваленное дерево и съезди до него;Местоимение: него. Объект: поваленного дерева
соверши поворот в это место, к ограждению и объезжай его;Местоимение: его. Объект: ограждение
пустись к светильнику правее себя и разглядывай его;Местоимение: его. Объект: светильник
давай до холмика правее и подвергни анализу его;Местоимение: его. Объект: холмик
убеги до этой лесополосы и оставь позади её;Местоимение: её. Объект: лесополосу
исследуй камень и собирайся до него;Местоимение: него. Объект: камня
обследуй тачку, что рядом с останцем, находящийся позади домика и заворчивай до неё;Местоимение: неё. Объект: тачки
обнаружь горку, которая рядом с спиленным деревом, выметайся к ней;Местоимение: ней. Объект: горке
опереди автомобиль слева, осмотри его;Местоимение: его. Объект: автомобиль
заворчивай к столбу левее себя, рассматривай его;Местоимение: его. Объект: столб
начни трусить к ближнему холмику, исследуй его;Местоимение: его. Объект: холмик
рассматривай провал, располагающийся правее разлома и подвергни анализу его;Местоимение: его. Объект: провал
разглядывай близлежащую горку и соверши поворот к ней;Местоимение: ней. Объект: горке
разыщи дубраву и анализируй её;Местоимение: её. Объект: дубраву
попробуй анализировать товарища, который располагается рядом с барьером и иди до него;Местоимение: него. Объект: товарища
повернись до ольхи, что находится перед спиленным деревом, переступай к ней;Местоимение: ней. Объект: ольхе
опереди разлом, который находится справа от спиленного дерева, исследуй его;Местоимение: его. Объект: разлом
обставь в том направлении, к свету, анализируй его;Местоимение: его. Объект: свет
забреди до камня впереди себя и оставь позади его;Местоимение: его. Объект: камень
заворчивай к камню и исследуй его;Местоимение: его. Объект: камень
обнаружь особняк левее тебя, анализируй его;Местоимение: его. Объект: особняк
перебегать до бугра, находящегося перед валуном и заворчивай к нему;Местоимение: нему. Объект: бугру
пытайся опережать близкий камень, пробеги к нему;Местоимение: нему. Объект: камню
попробуй переходить до упавшего человека и оставь позади его;Местоимение: его. Объект: упавшего человека
анализируй ограждение и поворачивай к нему;Местоимение: нему. Объект: ограждению
соверши поворот до берёзы правее и обскакивай её;Местоимение: её. Объект: берёзу
попробуй разглядывать канаву, что слева от рощи, располагающуюся спереди от сваленного дерева, оставь позади её;Местоимение: её. Объект: канаву
начинай заворчивать к наблюдаемому светильнику и поддай к нему;Местоимение: нему. Объект: светильнику
сделай поворот до бугра рядом с дубравой и вкатывайся до него;Местоимение: него. Объект: бугра
разыщи булыжник, обследуй его;Местоимение: его. Объект: булыжник
обозревай провал, который находится справа от камушка, который располагается перед дамой и подвергни анализу его;Местоимение: его. Объект: провал
осматривай ближнее препятствие, соверши поворот к нему;Местоимение: нему. Объект: препятствию
отыщи близкий останец и ползи к нему;Местоимение: нему. Объект: останцу
осуществи перемещение до дома, исследуй его;Местоимение: его. Объект: дом
объезжай барьер, повернись к нему;Местоимение: нему. Объект: барьеру
обозревай барьер, который справа от машины, которая неподалеку от дома, обследуй его;Местоимение: его. Объект: барьер
опереди расщелину, что спереди от постройки, что рядом с холмиком, шкандыбарь к ней;Местоимение: ней. Объект: расщелине
разглядывай этого мужчину, захаживай до него;Местоимение: него. Объект: мужчины
попробуй рассматривать в этом направлении, к камушку, скатывайся к нему;Местоимение: нему. Объект: камушку
обставь останец правее тебя и следуй до него;Местоимение: него. Объект: останца
заворчивай до ближайшей ямы и следуй по пути к ней;Местоимение: ней. Объект: яме
обходи в том направлении, до разрыва и исследуй его;Местоимение: его. Объект: разрыв
оставь позади пропасть перед тобой, осматривай её;Местоимение: её. Объект: пропасть
обскочи недалёкую яму и разглядывай её;Местоимение: её. Объект: яму
отбеги до близкой преграды и обскакивай её;Местоимение: её. Объект: преграду
найди камушек, что располагается спереди от барьера, который за лежащим человеком, рассматривай его;Местоимение: его. Объект: камушек
обнаружь близлежащую гору и осматривай её;Местоимение: её. Объект: гору
забреди куда смотрю, до коттеджа и опережай его;Местоимение: его. Объект: коттедж
опереди сломанное дерево правее тебя, убирайся до него;Местоимение: него. Объект: сломанного дерева
начни уноситься до близкой загородки, опережай её;Местоимение: её. Объект: загородку
начни уезжать туда, к ольхе, рассмотри её;Местоимение: её. Объект: ольху
попробуй обследовать упавшего человека, располагающегося неподалеку от булыги и влачись к нему;Местоимение: нему. Объект: упавшему человеку
обскакивай данный автомобиль и сделай поворот до него;Местоимение: него. Объект: автомобиля
пытайся рассматривать фонарь, вылети к нему;Местоимение: нему. Объект: фонарю
подвергни анализу барьер позади себя, сделай поворот до него;Местоимение: него. Объект: барьера
обнаружь лежащего человека, который рядом с ольхой, которая перед автомобилем и хромай к нему;Местоимение: нему. Объект: лежащему человеку
подвергни анализу впадину и объезжай её;Местоимение: её. Объект: впадину
анализируй ближайшего свалившегося человека и рассматривай его;Местоимение: его. Объект: свалившегося человека
попробуй исследовать ближайшую рытвину и обскочи её;Местоимение: её. Объект: рытвину
пытайся исследовать свалившегося человека за тобой и оставь позади его;Местоимение: его. Объект: свалившегося человека
подвергни анализу пьяного человека, который за горой и гуляй до него;Местоимение: него. Объект: пьяного человека
повернись до чащи и лети к ней;Местоимение: ней. Объект: чаще
рассматривай трещину, сдай до неё;Местоимение: неё. Объект: трещины
попробуй перебрасываться к наблюдаемому коттеджу, обследуй его;Местоимение: его. Объект: коттедж
разыщи пьяного человека, который находится левее препятствия, что располагается за машиной и заворчивай до него;Местоимение: него. Объект: пьяного человека
пробирайся к близлежащему коттеджу и анализируй его;Местоимение: его. Объект: коттедж
попробуй рассматривать берёзу, что левее автомобиля, толкайся к ней;Местоимение: ней. Объект: берёзе
обнаружь близкую чащу и объезжай её;Местоимение: её. Объект: чащу
сделай поворот до леса, который располагается перед провалом, перемещайся до него;Местоимение: него. Объект: леса
объезжай свет, который находится правее свалившегося человека, располагающегося за железным конём и разглядывай его;Местоимение: его. Объект: свет
обскакивай камень, что находится за останцем, располагающийся неподалеку от особняка, осматривай его;Местоимение: его. Объект: камень
сделай поворот к берёзе, что рядом с домом, который располагается за пьяным человеком и осматривай её;Местоимение: её. Объект: берёзу
оставь позади ближнюю сосну, подымайся к ней;Местоимение: ней. Объект: сосне
попробуй отправляться к этому зданию и обставь его;Местоимение: его. Объект: здание
повернись до впадины, находящейся сзади от трещины, подвергни анализу её;Местоимение: её. Объект: впадину
спеши до ближнего дома и разглядывай его;Местоимение: его. Объект: дом
трюшчи до растения, которое находится слева от рощи, что спереди от трещины и обходи его;Местоимение: его. Объект: растение
повернись до холмика, что находится левее человека, который находится справа от булыжника и осмотри его;Местоимение: его. Объект: холмик
повернись к дубраве, находящейся перед свалившимся человеком и обследуй её;Местоимение: её. Объект: дубраву
оставь позади сосну, которая располагается справа от валуна, рассматривай её;Местоимение: её. Объект: сосну
начинай объезжать машину, что перед лесом, что располагается за барьером и разглядывай её;Местоимение: её. Объект: машину
опереди ближайший холмик, проходи до него;Местоимение: него. Объект: холмика
осмотри яму, что спереди от автомобиля, который находится перед упавшим деревом, подвергни анализу её;Местоимение: её. Объект: яму
начинай осматривать упавшее дерево перед тобой и обследуй его;Местоимение: его. Объект: упавшее дерево
заворчивай до данного останца, анализируй его;Местоимение: его. Объект: останец
начни обозревать дубраву справа и анализируй её;Местоимение: её. Объект: дубраву
пытайся исследовать булыжник за собой и осматривай его;Местоимение: его. Объект: булыжник
начни подходить до булыжника, который слева от рытвины и обследуй его;Местоимение: его. Объект: булыжник
пытайся обскакивать мужчину и гони к нему;Местоимение: нему. Объект: мужчине
подвергни анализу лесополосу, обходи её;Местоимение: её. Объект: лесополосу
отыщи мужчину левее себя и объезжай его;Местоимение: его. Объект: мужчину
исследуй недалёкое поваленное дерево, оставь позади его;Местоимение: его. Объект: поваленное дерево
оставь позади то здание, обозревай его;Местоимение: его. Объект: здание
объезжай свет и обследуй его;Местоимение: его. Объект: свет
рассмотри в том направлении, до валуна и исследуй его;Местоимение: его. Объект: валун
обскакивай чащу справа от себя, анализируй её;Местоимение: её. Объект: чащу
опережай в это место, к дубу, заворчивай до него;Местоимение: него. Объект: дуба
подвергни анализу лежащего человека, что находится левее трещины и лети к нему;Местоимение: нему. Объект: лежащему человеку
отбеги к ближней роще и соверши поворот до неё;Местоимение: неё. Объект: рощи
потеряйся к препятствию, что позади машины, повернись к нему;Местоимение: нему. Объект: препятствию
попробуй переходить к дереву за тобой, повернись к нему;Местоимение: нему. Объект: дереву
найди впадину, находящуюся рядом с разрывом, который находится рядом с барьером и исследуй её;Местоимение: её. Объект: впадину
поворачивай до машины, располагающейся неподалеку от валуна, который спереди от кучи и разглядывай её;Местоимение: её. Объект: машину
осматривай ближнего товарища и загребай до него;Местоимение: него. Объект: товарища
рассмотри машину, исследуй её;Местоимение: её. Объект: машину
мчи до лесополосы и сделай поворот до неё;Местоимение: неё. Объект: лесополосы
опережай недалекий камушек и убегай к нему;Местоимение: нему. Объект: камушку
осматривай провал за сломанным деревом, обследуй его;Местоимение: его. Объект: провал
заворчивай к провалу за тобой, опережай его;Местоимение: его. Объект: провал
отыщи избу, что находится слева от свалившегося человека, что находится рядом с расщелиной и шлепай к ней;Местоимение: ней. Объект: избе
объезжай тот коттедж и обоснуйся к нему;Местоимение: нему. Объект: коттеджу
поднемись к трещине, которая перед поваленным деревом, что располагается позади дуба, разглядывай её;Местоимение: её. Объект: трещину
исследуй разрыв, который спереди от камня слева от тачки, заворчивай до него;Местоимение: него. Объект: разрыва
заворчивай до данной женщины и проезжай к ней;Местоимение: ней. Объект: женщине
начинай анализировать берёзу справа и соверши поворот к ней;Местоимение: ней. Объект: берёзе
обскакивай ольху, которая располагается слева от света, который находится левее оврага, припусти к ней;Местоимение: ней. Объект: ольхе
поворачивай к ребёнку, что располагается перед столбом, что находится рядом с дубравой, исследуй его;Местоимение: его. Объект: ребёнка
сделай поворот до наблюдаемого бугра, трогай до него;Местоимение: него. Объект: бугра
найди сломанное дерево, которое располагается слева от валуна правее разрыва и оставь позади его;Местоимение: его. Объект: сломанное дерево
причаль к товарищу за собой и рассмотри его;Местоимение: его. Объект: товарища
поддай к дубраве, которая спереди от рытвины, что левее валуна, сделай поворот до неё;Местоимение: неё. Объект: дубравы
разглядывай сваленное дерево сзади себя и опережай его;Местоимение: его. Объект: сваленное дерево
обскакивай рощу, что располагается позади свалившегося человека, что спереди от разрыва и переместись к ней;Местоимение: ней. Объект: роще
пытайся поворачивать к ближайшей тачке, разглядывай её;Местоимение: её. Объект: тачку
сделай поворот до избы перед собой, обходи её;Местоимение: её. Объект: избу
обследуй строение, что рядом с свалившимся человеком, который находится слева от товарища и сделай поворот к нему;Местоимение: нему. Объект: строению
сделай поворот к тачке слева от упавшего дерева, располагающемуся около женщины, оставь позади её;Местоимение: её. Объект: тачку
начинай осматривать срубленное дерево, которое левее авто, заворчивай до него;Местоимение: него. Объект: срубленного дерева
начинай выбрасываться к близкому дубу и анализируй его;Местоимение: его. Объект: дуб
потеряйся до близлежащего пьяного человека и заворчивай до него;Местоимение: него. Объект: пьяного человека
начинай заворчивать к лесополосе и оставь позади её;Местоимение: её. Объект: лесополосу
пытайся выбегать до ямы, располагающейся спереди от мужчины, осматривай её;Местоимение: её. Объект: яму
ковыляй к пригорку, исследуй его;Местоимение: его. Объект: пригорок
разыщи разрыв справа от себя и обследуй его;Местоимение: его. Объект: разрыв
подвергни анализу ближнюю рытвину, опережай её;Местоимение: её. Объект: рытвину
начни исследовать препятствие и обставь его;Местоимение: его. Объект: препятствие
соверши поворот к авто неподалеку от сваленного дерева, которое левее света и объезжай его;Местоимение: его. Объект: авто
опереди разлом, находящийся справа от дубравы, что располагается за домом, бреди до него;Местоимение: него. Объект: разлома
прорывайся к разрыву, подвергни анализу его;Местоимение: его. Объект: разрыв
поезжай до недалёкого упавшего дерева, разглядывай его;Местоимение: его. Объект: упавшее дерево
продвигайся к загородке, что находится правее столба, который за лежащим человеком и соверши поворот до неё;Местоимение: неё. Объект: загородки
рассматривай наблюдаемый дом и обставь его;Местоимение: его. Объект: дом
пытайся заворчивать до провала, анализируй его;Местоимение: его. Объект: провал
начни тянуть к ближнему сваленному дереву и повернись до него;Местоимение: него. Объект: сваленного дерева
попробуй разглядывать ту расщелину и сделай поворот к ней;Местоимение: ней. Объект: расщелине
обскочи данного лежащего человека и прохаживай до него;Местоимение: него. Объект: лежащего человека
рассмотри здание, которое находится сзади от лежащего человека, который перед женщиной, исследуй его;Местоимение: его. Объект: здание
исследуй останец и осуществи перемещение к нему;Местоимение: нему. Объект: останцу
обнаружь столб, который около сваленного дерева, что располагается слева от преграды, разглядывай его;Местоимение: его. Объект: столб
приедь до автомобиля, обозревай его;Местоимение: его. Объект: автомобиль
начинай катиться до булыги, которая правее упавшего человека и обставь её;Местоимение: её. Объект: булыгу
рассмотри в этом направлении, до горки и подвергни анализу её;Местоимение: её. Объект: горку
объезжай спиленное дерево, находящееся рядом с зданием, находящееся рядом с пропастью, рассматривай его;Местоимение: его. Объект: спиленное дерево
пытайся прорываться до упавшего человека, что находится левее ольхи, которая находится спереди от холмика и обследуй его;Местоимение: его. Объект: упавшего человека
начинай осматривать мужчину слева от пьяного человека, соверши поворот до него;Местоимение: него. Объект: мужчины
сделай поворот к ограждению справа и канай к нему;Местоимение: нему. Объект: ограждению
отыщи расщелину, повернись до неё;Местоимение: неё. Объект: расщелины
исследуй поваленное дерево, располагающееся спереди от упавшего человека и трюшчи до него;Местоимение: него. Объект: поваленного дерева
подвергни анализу сломанное дерево, располагающееся спереди от тачки и рассматривай его;Местоимение: его. Объект: сломанное дерево
начинай идти к пригорку, подвергни анализу его;Местоимение: его. Объект: пригорок
подвергни анализу валун и кинься к нему;Местоимение: нему. Объект: валуну
найди ближнюю кучу и рассматривай её;Местоимение: её. Объект: кучу
пытайся рассматривать упавшее дерево, которое располагается правее коттеджа и заворчивай к нему;Местоимение: нему. Объект: упавшему дереву
попробуй езжать к срубленному дереву, что располагается рядом с провалом, подвергни анализу его;Местоимение: его. Объект: срубленное дерево
начинай разглядывать валун и зайди к нему;Местоимение: нему. Объект: валуну
осмотри столб справа от тебя, подвергни анализу его;Местоимение: его. Объект: столб
попробуй обозревать загородку и опереди её;Местоимение: её. Объект: загородку
приходи до загородки перед собой и поворачивай до неё;Местоимение: неё. Объект: загородки
обходи машину справа от барьера, соверши поворот к ней;Местоимение: ней. Объект: машине
анализируй сломанное дерево около лампы, которая находится перед останцем, переместись до него;Местоимение: него. Объект: сломанного дерева
исследуй строение и повернись до него;Местоимение: него. Объект: строения
начни заворчивать до сломанного дерева впереди тебя, опережай его;Местоимение: его. Объект: сломанное дерево
начинай обскакивать берёзу, анализируй её;Местоимение: её. Объект: берёзу
оставь позади столб и вылети к нему;Местоимение: нему. Объект: столбу
пытайся приближаться до пьяного человека слева, подвергни анализу его;Местоимение: его. Объект: пьяного человека
повернись к наблюдаемому останцу, обследуй его;Местоимение: его. Объект: останец
сделай поворот туда, до лампы, объезжай её;Местоимение: её. Объект: лампу
поворачивай к избе за тобой и осмотри её;Местоимение: её. Объект: избу
повернись в том направлении, к лесу, рассматривай его;Местоимение: его. Объект: лес
пытайся заворчивать до валуна, который располагается правее сваленного дерева, располагающегося за трещиной и осматривай его;Местоимение: его. Объект: валун
обнаружь ближайшую впадину, сдвигайся к ней;Местоимение: ней. Объект: впадине
разглядывай в это место, до разлома, повернись к нему;Местоимение: нему. Объект: разлому
осмотри близкое сломанное дерево и двигайся к нему;Местоимение: нему. Объект: сломанному дереву
исследуй срубленное дерево, которое правее камушка сзади от женщины, обставь его;Местоимение: его. Объект: срубленное дерево
начни обозревать в эту сторону, к растению и сделай поворот до него;Местоимение: него. Объект: растения
сделай поворот до столба правее себя, рассматривай его;Местоимение: его. Объект: столб
разыщи светильник, что находится сзади от останца, прорывайся до него;Местоимение: него. Объект: светильника
пытайся обскакивать ближнюю канаву, анализируй её;Местоимение: её. Объект: канаву
пытайся разглядывать наблюдаемый разлом, обходи его;Местоимение: его. Объект: разлом
отыщи рытвину, что располагается около останца, который правее светильника, обскочи её;Местоимение: её. Объект: рытвину
обходи барьер, располагающийся перед возвышенностью, которая перед женщиной и прилети до него;Местоимение: него. Объект: барьера
пытайся разглядывать рощу впереди, оставь позади её;Местоимение: её. Объект: рощу
начни мчаться в том направлении, к лежащему человеку и обследуй его;Местоимение: его. Объект: лежащего человека
соверши поворот до ближней сосны и торопись к ней;Местоимение: ней. Объект: сосне
заворчивай до разлома, что находится левее загородки, выходи к нему;Местоимение: нему. Объект: разлому
пролетай до сваленного дерева, которое располагается слева от холма слева от камня, объезжай его;Местоимение: его. Объект: сваленное дерево
заворчивай к дубраве, что располагается спереди от ольхи, которая располагается рядом с постройкой и волочись до неё;Местоимение: неё. Объект: дубравы
подвергни анализу ближайшего пьяного человека, обозревай его;Местоимение: его. Объект: пьяного человека
заворчивай до препятствия, которое располагается за ольхой и пролетай до него;Местоимение: него. Объект: препятствия
опережай упавшего человека, который располагается справа от столба и исследуй его;Местоимение: его. Объект: упавшего человека
попробуй поворачивать к данному фонарю, подвергни анализу его;Местоимение: его. Объект: фонарь
соверши поворот к автомобилю, который справа от товарища, который находится рядом с горкой, обставь его;Местоимение: его. Объект: автомобиль
сделай поворот до впадины, рассмотри её;Местоимение: её. Объект: впадину
начни осматривать разлом, что располагается спереди от постройки, которая находится справа от женщины и подвергни анализу его;Местоимение: его. Объект: разлом
анализируй трещину, что левее пьяного человека слева от останца, обскочи её;Местоимение: её. Объект: трещину
найди домик, который находится рядом с деревом, которое располагается слева от фонаря, соверши поворот к нему;Местоимение: нему. Объект: домику
обставь провал за трещиной, заворчивай до него;Местоимение: него. Объект: провала
опереди впадину, что располагается рядом с упавшим деревом и соверши поворот до неё;Местоимение: неё. Объект: впадины
опереди фонарь слева, скачи до него;Местоимение: него. Объект: фонаря
заворчивай до близкого свалившегося человека и сдвигайся до него;Местоимение: него. Объект: свалившегося человека
пытайся обозревать близкое поваленное дерево и поворачивай до него;Местоимение: него. Объект: поваленного дерева
обставь ближнюю избу, кинься до неё;Местоимение: неё. Объект: избы
исколеси к берёзе, которая слева от леса, объезжай её;Местоимение: её. Объект: берёзу
оставь позади близкий свет, гуляй к нему;Местоимение: нему. Объект: свету
подвергни анализу яму и повернись до неё;Местоимение: неё. Объект: ямы
начни высаживаться до загородки, опереди её;Местоимение: её. Объект: загородку
повернись до расщелины, что располагается спереди от авто, подвергни анализу её;Местоимение: её. Объект: расщелину
поворачивай к чаще, что находится позади постройки и становись к ней;Местоимение: ней. Объект: чаще
обнаружь разрыв, что находится левее срубленного дерева и загребай к нему;Местоимение: нему. Объект: разрыву
опереди ограждение, которое слева от сосны и исследуй его;Местоимение: его. Объект: ограждение
пытайся поворачивать до останца, находящегося около тачки, что располагается неподалеку от дубравы и подвергни анализу его;Местоимение: его. Объект: останец
начни заворчивать до горки за собой и исследуй её;Местоимение: её. Объект: горку
осмотри близлежащую расщелину и обскакивай её;Местоимение: её. Объект: расщелину
отыщи фонарь правее тебя и повернись до него;Местоимение: него. Объект: фонаря
начинай опережать в это место, к роще, рассмотри её;Местоимение: её. Объект: рощу
попробуй обозревать ту сосну, волочись к ней;Местоимение: ней. Объект: сосне
обследуй срубленное дерево, осмотри его;Местоимение: его. Объект: срубленное дерево
повернись к тачке, исследуй её;Местоимение: её. Объект: тачку
сделай поворот до этой ямы, исследуй её;Местоимение: её. Объект: яму
соверши поворот до ближнего камушка и объезжай его;Местоимение: его. Объект: камушек
обозревай возвышенность и перебегать до неё;Местоимение: неё. Объект: возвышенности
попробуй осматривать ближнюю женщину и сделай поворот к ней;Местоимение: ней. Объект: женщине
пытайся опережать рощу левее растения, которое находится спереди от лампы и давай до неё;Местоимение: неё. Объект: рощи
обозревай рощу, которая располагается перед светом, что перед автомобилем и следуй по пути к ней;Местоимение: ней. Объект: роще
пытайся осматривать провал справа от тебя и выходи до него;Местоимение: него. Объект: провала
мчи к валуну и объезжай его;Местоимение: его. Объект: валун
начни обскакивать канаву, что левее особняка и осматривай её;Местоимение: её. Объект: канаву
осматривай данную лесополосу, исследуй её;Местоимение: её. Объект: лесополосу
попробуй анализировать сломанное дерево и оставь позади его;Местоимение: его. Объект: сломанное дерево
сделай поворот до человека, подвергни анализу его;Местоимение: его. Объект: человека
обставь тот валун, заворчивай до него;Местоимение: него. Объект: валуна
переместись до булыжника сзади от разлома, обследуй его;Местоимение: его. Объект: булыжник
попробуй объезжать недалекий камень, соверши поворот до него;Местоимение: него. Объект: камня
разглядывай близлежащую избу, поворачивай к ней;Местоимение: ней. Объект: избе
найди расщелину, которая рядом с тачкой, которая располагается правее свалившегося человека и выполни передислокацию до неё;Местоимение: неё. Объект: расщелины
сделай поворот туда, к ограждению и анализируй его;Местоимение: его. Объект: ограждение
соверши поворот к препятствию, рассматривай его;Местоимение: его. Объект: препятствие
обозревай кучу и соверши поворот до неё;Местоимение: неё. Объект: кучи
отыщи авто и поворачивай до него;Местоимение: него. Объект: авто
